Issue,EventId,Cur,Event,Period,Date,Time,PreviousRaw,PriorActual,PreviousEffective,Details
stale_missing_actual_dropped,OMR::budget balance::none,OMR,Budget Balance  (Mar),mar,2016-05-28,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,OMR::m2 money supply::y/y,OMR,M2 Money Supply (YoY)  (Oct),oct,2016-12-20,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,BHD::cpi::m/m,BHD,CPI (MoM)  (May),may,2016-06-24,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,BHD::m2 money supply::none,BHD,M2 Money Supply  (Sep),sep,2016-01-13,06:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,BHD::m2 money supply::none,BHD,M2 Money Supply  (Nov),nov,2016-03-15,06:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,BHD::m2 money supply::none,BHD,M2 Money Supply  (Feb),feb,2016-06-16,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,MUR::cpi::y/y,MUR,CPI (YoY)  (Jan),jan,2016-02-10,00:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,MUR::cpi::y/y,MUR,CPI (YoY)  (Feb),feb,2016-03-08,00:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,MUR::cpi::y/y,MUR,CPI (YoY)  (Mar),mar,2016-04-08,00:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,TRY::exports::none,TRY,Exports  (Dec),dec,2016-01-01,17:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,NZD::current account % of gdp::none,NZD,Current Account % of GDP  (Q3),q3,2016-12-14,05:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,NZD::current account::y/y,NZD,Current Account (YoY)  (Q3),q3,2016-12-14,05:45,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,OMR::total credit::y/y,OMR,Total Credit (YoY)  (Oct),oct,2016-12-20,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,UGX::cpi::y/y,UGX,CPI (YoY)  (Mar),mar,2016-03-31,Tentative,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,ARS::tax revenue::none,ARS,Tax Revenue  (Dec),dec,2016-01-02,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,IDR::balance of payments (eur)::none,IDR,Balance of Payments (EUR)  (Q2),q2,2016-08-12,17:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,IDR::current account % of gdp::none,IDR,Current Account % of GDP  (Q2),q2,2016-08-12,17:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,MXN::current account % of gdp::none,MXN,Current Account % of GDP  (Q1),q1,2016-05-25,22:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,BHD::private sector credit::y/y,BHD,Private Sector Credit (YoY)  (Sep),sep,2016-01-13,06:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,BHD::private sector credit::y/y,BHD,Private Sector Credit (YoY)  (Nov),nov,2016-03-15,06:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,BHD::private sector credit::y/y,BHD,Private Sector Credit (YoY)  (Feb),feb,2016-06-16,05:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,USD::payrolls benchmark (12m)::none,USD,Payrolls Benchmark  (12M),,2016-09-07,22:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
stale_missing_actual_dropped,PEN::current account % of gdp::none,PEN,Current Account % of GDP  (Q1),q1,2016-05-20,21:00,,,,"{""cutoff"": ""20-01-2026 20:56""}"
